signal_date,execution_date,asset,asset_type,industry,score,rank,selected,target_weight
2019-07-31,2019-08-01,SH000905,equity_index,,-0.5657559931179145,5,False,0.0
2019-08-30,2019-09-02,SH000016,equity_index,,0.994082406773924,1,True,1.0
2019-08-30,2019-09-02,SH000300,equity_index,,0.7923761644340315,2,False,0.0
2019-08-30,2019-09-02,SZ399006,equity_index,,-0.47411932720956784,3,False,0.0
2019-08-30,2019-09-02,SH000905,equity_index,,-0.5099337541054856,4,False,0.0
2019-08-30,2019-09-02,SH000852,equity_index,,-0.8024054898929015,5,False,0.0
2019-09-30,2019-10-08,SH000300,equity_index,,1.1007392029601133,1,True,1.0
2019-09-30,2019-10-08,SH000016,equity_index,,0.9438863633708799,2,False,0.0
2019-09-30,2019-10-08,SZ399006,equity_index,,-0.20153879823639437,3,False,0.0
2019-09-30,2019-10-08,SH000905,equity_index,,-0.8770865521603537,4,False,0.0
2019-09-30,2019-10-08,SH000852,equity_index,,-0.9660002159342451,5,False,0.0
2019-10-31,2019-11-01,SH000016,equity_index,,0.7726104395101424,1,True,1.0
2019-10-31,2019-11-01,SH000300,equity_index,,0.6301191508208057,2,False,0.0
2019-10-31,2019-11-01,SZ399006,equity_index,,-0.29440227137624775,3,False,0.0
2019-10-31,2019-11-01,SH000905,equity_index,,-0.32423083031921324,4,False,0.0
2019-10-31,2019-11-01,SH000852,equity_index,,-0.7840964886354872,5,False,0.0
2019-11-29,2019-12-02,SH000016,equity_index,,0.7684538572127754,1,True,1.0
2019-11-29,2019-12-02,SH000300,equity_index,,0.641539678766499,2,False,0.0
2019-11-29,2019-12-02,SZ399006,equity_index,,-0.11457358270188397,3,False,0.0
2019-11-29,2019-12-02,SH000905,equity_index,,-0.620315905295949,4,False,0.0
2019-11-29,2019-12-02,SH000852,equity_index,,-0.675104047981441,5,False,0.0
2019-12-31,2020-01-02,SH000016,equity_index,,0.6543694774594275,1,True,1.0
2019-12-31,2020-01-02,SH000300,equity_index,,0.4937030846257874,2,False,0.0
2019-12-31,2020-01-02,SH000905,equity_index,,-0.03338887631842005,3,False,0.0
2019-12-31,2020-01-02,SZ399006,equity_index,,-0.05159999710971224,4,False,0.0
2019-12-31,2020-01-02,SH000852,equity_index,,-1.0630836886570818,5,False,0.0
2020-01-23,2020-02-03,SH000905,equity_index,,0.07948995233711896,1,True,1.0
2020-01-23,2020-02-03,SH000016,equity_index,,0.04262808286088443,2,False,0.0
2020-01-23,2020-02-03,SZ399006,equity_index,,0.008031280437184263,3,False,0.0
2020-01-23,2020-02-03,SH000300,equity_index,,0.006884828175975827,4,False,0.0
2020-01-23,2020-02-03,SH000852,equity_index,,-0.13703414381116302,5,False,0.0
2020-02-28,2020-03-02,SH000300,equity_index,,0.6432437095025334,1,True,1.0
2020-02-28,2020-03-02,SH000016,equity_index,,0.22012724370823436,2,False,0.0
2020-02-28,2020-03-02,SH000905,equity_index,,0.02884249464541401,3,False,0.0
2020-02-28,2020-03-02,SH000852,equity_index,,-0.33410011104652326,4,False,0.0
